planner,family,scene_idx,seed,success,steps,path_length,n_contacts,n_sensed
bug2,sparse,0,0,True,65,4.293468,0,2
bug2,cluttered,0,0,True,159,9.81667,0,14
bug2,collision_required,0,0,True,359,22.482584,0,32
bug2,collision_shortcut,0,0,True,85,5.101035,0,7
bug2,sparse,1,1,True,71,4.423679,0,4
bug2,cluttered,1,1,True,152,9.556905,0,13
bug2,collision_required,1,1,True,228,14.133473,0,25
bug2,collision_shortcut,1,1,True,134,8.356184,0,10
bug2,sparse,2,2,True,108,6.841896,0,3
bug2,cluttered,2,2,True,119,7.003885,0,11
bug2,collision_required,2,2,True,249,15.265309,0,25
bug2,collision_shortcut,2,2,True,120,7.173922,0,10
bug2,sparse,3,3,True,74,5.025796,0,1
bug2,cluttered,3,3,True,132,8.163497,0,12
bug2,collision_required,3,3,True,211,12.603246,0,27
bug2,collision_shortcut,3,3,True,127,7.490322,0,10
bug2,sparse,4,4,True,90,5.777606,0,4
bug2,cluttered,4,4,False,801,9.973785,0,8
bug2,collision_required,4,4,True,243,15.058672,0,25
bug2,collision_shortcut,4,4,True,121,7.313213,0,7
bug2,sparse,5,5,True,64,4.309263,0,1
bug2,cluttered,5,5,True,85,5.279496,0,6
bug2,collision_required,5,5,False,801,13.074775,0,21
bug2,collision_shortcut,5,5,True,80,4.800826,0,8
bug2,sparse,6,6,True,70,4.484483,0,3
bug2,cluttered,6,6,True,72,4.505346,0,5
bug2,collision_required,6,6,False,801,6.81327,0,18
bug2,collision_shortcut,6,6,True,81,4.765325,0,8
bug2,sparse,7,7,True,59,3.665011,0,3
bug2,cluttered,7,7,True,71,4.149442,0,7
bug2,collision_required,7,7,False,801,6.591272,0,19
bug2,collision_shortcut,7,7,True,94,5.565261,0,7
bug2,sparse,8,8,True,94,6.093032,0,3
bug2,cluttered,8,8,False,801,9.53434,0,7
bug2,collision_required,8,8,True,275,16.935094,0,31
bug2,collision_shortcut,8,8,True,96,5.620591,0,8
bug2,sparse,9,9,True,86,5.555664,0,3
bug2,cluttered,9,9,True,95,5.688569,0,8
bug2,collision_required,9,9,True,366,23.374545,0,30
bug2,collision_shortcut,9,9,True,106,6.430493,0,9
bug2,sparse,10,10,True,87,5.687364,0,2
bug2,cluttered,10,10,True,121,7.625266,0,7
bug2,collision_required,10,10,False,801,11.244755,0,12
bug2,collision_shortcut,10,10,True,104,6.344421,0,6
bug2,sparse,11,11,True,63,4.029634,0,2
bug2,cluttered,11,11,True,66,4.01159,0,6
bug2,collision_required,11,11,True,243,14.691641,0,31
bug2,collision_shortcut,11,11,True,95,5.695195,0,8
bug2,sparse,12,12,True,113,7.02212,0,6
bug2,cluttered,12,12,True,176,10.834721,0,15
bug2,collision_required,12,12,True,200,11.917569,0,30
bug2,collision_shortcut,12,12,True,127,7.761076,0,7
bug2,sparse,13,13,True,77,4.394599,0,6
bug2,cluttered,13,13,True,85,4.582743,0,14
bug2,collision_required,13,13,True,268,16.678806,0,25
bug2,collision_shortcut,13,13,True,144,8.788374,0,10
bug2,sparse,14,14,True,73,4.51674,0,5
bug2,cluttered,14,14,True,79,4.409125,0,10
bug2,collision_required,14,14,False,801,9.471042,0,13
bug2,collision_shortcut,14,14,True,71,4.469762,0,4
bug2,sparse,15,15,True,70,4.616447,0,3
bug2,cluttered,15,15,True,299,18.674306,0,23
bug2,collision_required,15,15,True,285,17.755747,0,28
bug2,collision_shortcut,15,15,True,83,5.130625,0,7
bug2,sparse,16,16,True,92,5.951651,0,3
bug2,cluttered,16,16,True,127,7.792435,0,9
bug2,collision_required,16,16,True,267,16.2784,0,34
bug2,collision_shortcut,16,16,True,206,13.063015,0,14
bug2,sparse,17,17,True,56,3.730288,0,1
bug2,cluttered,17,17,True,80,4.799042,0,9
bug2,collision_required,17,17,True,190,11.001421,0,29
bug2,collision_shortcut,17,17,True,78,4.721186,0,7
bug2,sparse,18,18,True,54,3.517793,0,2
bug2,cluttered,18,18,True,78,4.525109,0,12
bug2,collision_required,18,18,True,251,14.839722,0,33
bug2,collision_shortcut,18,18,True,117,7.452835,0,8
bug2,sparse,19,19,True,85,5.184055,0,5
bug2,cluttered,19,19,True,127,7.593341,0,13
bug2,collision_required,19,19,True,235,14.64797,0,22
bug2,collision_shortcut,19,19,True,109,6.284306,0,10
bug2,sparse,20,20,True,53,3.504055,0,1
bug2,cluttered,20,20,True,60,3.692138,0,4
bug2,collision_required,20,20,False,801,11.394499,0,14
bug2,collision_shortcut,20,20,True,87,5.229478,0,6
bug2,sparse,21,21,True,114,7.055315,0,6
bug2,cluttered,21,21,True,197,12.028353,0,18
bug2,collision_required,21,21,True,377,23.507796,0,37
bug2,collision_shortcut,21,21,True,96,5.867681,0,7
bug2,sparse,22,22,True,96,6.471332,0,2
bug2,cluttered,22,22,True,101,6.471332,0,7
bug2,collision_required,22,22,False,801,53.83,0,31
bug2,collision_shortcut,22,22,True,135,7.948472,0,12
bug2,sparse,23,23,True,96,6.341771,0,2
bug2,cluttered,23,23,True,77,4.430548,0,8
bug2,collision_required,23,23,True,113,6.561248,0,12
bug2,collision_shortcut,23,23,True,88,5.074776,0,10
bug2,sparse,24,24,True,102,6.739173,0,2
bug2,cluttered,24,24,True,101,6.19048,0,5
bug2,collision_required,24,24,False,801,10.281739,0,14
bug2,collision_shortcut,24,24,True,117,7.269888,0,6
bug2,sparse,25,25,True,88,5.652396,0,4
bug2,cluttered,25,25,True,95,5.855907,0,8
bug2,collision_required,25,25,True,235,14.129896,0,26
bug2,collision_shortcut,25,25,True,102,6.448306,0,6
bug2,sparse,26,26,True,119,7.506986,0,6
bug2,cluttered,26,26,True,120,7.235571,0,10
bug2,collision_required,26,26,True,239,14.613574,0,29
bug2,collision_shortcut,26,26,True,127,8.060732,0,6
bug2,sparse,27,27,True,91,5.351117,0,5
bug2,cluttered,27,27,True,91,5.244781,0,10
bug2,collision_required,27,27,True,210,12.348474,0,30
bug2,collision_shortcut,27,27,True,111,6.420943,0,11
bug2,sparse,28,28,True,53,3.593609,0,0
bug2,cluttered,28,28,True,60,3.599027,0,5
bug2,collision_required,28,28,False,801,9.739364,0,14
bug2,collision_shortcut,28,28,True,78,4.706571,0,7
bug2,sparse,29,29,True,79,5.252649,0,2
