planner,family,scene_idx,seed,success,steps,path_length,n_contacts,n_sensed
beacon,sparse,0,0,True,111,4.293468,0,2
surp,sparse,0,0,True,136,5.280712,0,2
beacon,cluttered,0,0,True,114,4.293468,0,5
surp,cluttered,0,0,True,136,5.113029,0,7
beacon,collision_required,0,0,True,111,4.293468,0,1
surp,collision_required,0,0,True,131,4.990268,5,3
beacon,collision_shortcut,0,0,True,112,4.293468,0,2
surp,collision_shortcut,0,0,True,158,6.151723,0,3
beacon,sparse,1,1,True,116,4.408045,0,3
surp,sparse,1,1,True,145,5.629032,4,3
beacon,cluttered,1,1,True,120,4.408045,0,7
surp,cluttered,1,1,False,532,18.896194,54,12
beacon,collision_required,1,1,True,115,4.408045,0,2
surp,collision_required,1,1,True,221,8.482562,8,5
beacon,collision_shortcut,1,1,True,116,4.408045,0,4
surp,collision_shortcut,1,1,True,143,5.397604,8,4
beacon,sparse,2,2,True,164,6.357149,0,3
surp,sparse,2,2,True,217,8.510313,0,3
beacon,cluttered,2,2,True,168,6.357149,0,7
surp,cluttered,2,2,True,281,10.526638,22,8
beacon,collision_required,2,2,True,165,6.357149,0,4
surp,collision_required,2,2,True,216,8.447795,0,3
beacon,collision_shortcut,2,2,True,176,6.714341,0,7
surp,collision_shortcut,2,2,True,206,7.872458,0,8
beacon,sparse,3,3,True,130,5.025796,0,2
surp,sparse,3,3,True,161,6.182873,2,2
beacon,cluttered,3,3,True,135,5.025796,0,7
surp,cluttered,3,3,True,313,11.98889,10,8
beacon,collision_required,3,3,True,130,5.025796,0,2
surp,collision_required,3,3,True,162,6.142522,2,2
beacon,collision_shortcut,3,3,True,135,5.025796,0,7
surp,collision_shortcut,3,3,True,176,6.80516,0,4
beacon,sparse,4,4,True,125,4.795194,0,3
surp,sparse,4,4,True,144,5.470265,6,4
beacon,cluttered,4,4,True,127,4.795194,0,5
surp,cluttered,4,4,True,169,6.276419,2,9
beacon,collision_required,4,4,True,125,4.795194,0,3
surp,collision_required,4,4,True,134,5.154911,4,4
beacon,collision_shortcut,4,4,True,124,4.795194,0,3
surp,collision_shortcut,4,4,True,157,6.044253,6,3
beacon,sparse,5,5,True,110,4.309263,0,0
surp,sparse,5,5,True,109,4.309263,0,0
beacon,cluttered,5,5,True,117,4.309263,0,10
surp,cluttered,5,5,True,174,6.390974,8,12
beacon,collision_required,5,5,True,111,4.309263,0,1
surp,collision_required,5,5,True,136,5.175304,2,2
beacon,collision_shortcut,5,5,True,112,4.309263,0,2
surp,collision_shortcut,5,5,True,408,15.221493,26,14
beacon,sparse,6,6,True,106,4.056075,0,2
surp,sparse,6,6,True,139,5.363932,4,2
beacon,cluttered,6,6,True,110,4.056075,0,8
surp,cluttered,6,6,True,289,10.119146,32,14
beacon,collision_required,6,6,True,105,4.056075,0,1
surp,collision_required,6,6,True,117,4.54063,0,2
beacon,collision_shortcut,6,6,True,107,4.056075,0,3
surp,collision_shortcut,6,6,True,156,5.607537,8,5
beacon,sparse,7,7,True,97,3.658663,0,3
surp,sparse,7,7,True,100,3.808829,0,3
beacon,cluttered,7,7,True,101,3.658663,0,8
surp,cluttered,7,7,True,133,4.659387,6,9
beacon,collision_required,7,7,True,124,4.828709,0,1
surp,collision_required,7,7,True,153,5.768579,2,2
beacon,collision_shortcut,7,7,True,128,4.828709,0,7
surp,collision_shortcut,7,7,True,443,16.808043,45,17
beacon,sparse,8,8,True,119,4.665147,0,0
surp,sparse,8,8,True,118,4.665147,0,0
beacon,cluttered,8,8,True,126,4.665147,0,7
surp,cluttered,8,8,True,320,12.182863,4,11
beacon,collision_required,8,8,True,120,4.665147,0,1
surp,collision_required,8,8,True,122,4.752684,0,2
beacon,collision_shortcut,8,8,True,123,4.665147,0,4
surp,collision_shortcut,8,8,False,549,20.648,60,9
beacon,sparse,9,9,True,128,5.031909,0,0
